chromosome	start	end	gene	minCopyNumber	maxCopyNumber	somaticRegions	transcriptId	isCanonical	chromosomeBand	minRegions	minRegionStart	minRegionEnd	minRegionStartSupport	minRegionEndSupport	minRegionMethod	minMinorAlleleCopyNumber
chr10	3134566	3145166	AL451164.2	2.0000	2.0000	1	ENST00000441377	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3137730	3172841	PITRM1	2.0000	2.0000	1	ENST00000380989	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3141672	3148622	PITRM1-AS1	2.0000	2.0000	1	ENST00000430356	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3232288	3257584	LINC02668	2.0000	2.0000	1	ENST00000655354	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3223816	3227407	AL451164.1	2.0000	2.0000	1	ENST00000445932	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3263346	3267216	AL139280.1	2.0000	2.0000	1	ENST00000436340	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3296338	3298137	AL139280.2	2.0000	2.0000	1	ENST00000657119	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3397505	3400180	AL356433.1	2.0000	2.0000	1	ENST00000661754	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3486631	3502866	LINC02669	2.0000	2.0000	1	ENST00000669330	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3536414	3556314	AL357833.1	2.0000	2.0000	1	ENST00000654955	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3757987	3760484	AL450322.2	2.0000	2.0000	1	ENST00000670656	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3767915	3768751	AL450322.1	2.0000	2.0000	1	ENST00000415358	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3775996	3785209	KLF6	2.0000	2.0000	1	ENST00000497571	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3809835	3816169	AL513303.1	2.0000	2.0000	1	ENST00000668154	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3833950	3834728	LINC02639	2.0000	2.0000	1	ENST00000413339	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3912023	3935812	LINC02660	2.0000	2.0000	1	ENST00000655417	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3991160	3991259	MIR6078	2.0000	2.0000	1	ENST00000611069	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4024950	4034427	AC025822.1	2.0000	2.0000	1	ENST00000660544	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4051726	4089013	AC025822.2	2.0000	2.0000	1	ENST00000455199	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4201141	4243912	LINC00702	2.0000	2.0000	1	ENST00000608792	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4384246	4410612	LINC00703	2.0000	2.0000	1	ENST00000454152	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4415305	4426179	AC022535.1	2.0000	2.0000	1	ENST00000420082	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4437102	4448692	AC022535.3	2.0000	2.0000	1	ENST00000668998	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4497449	4515244	AC022535.2	2.0000	2.0000	1	ENST00000660243	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4514952	4515057	RNU6-163P	2.0000	2.0000	1	ENST00000384396	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4650158	4678177	MANCR	2.0000	2.0000	1	ENST00000430998	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4655463	4682722	LINC00705	2.0000	2.0000	1	ENST00000665287	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4747846	4785100	AC018978.1	2.0000	2.0000	1	ENST00000670284	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4826207	4848062	AKR1E2	2.0000	2.0000	1	ENST00000298375	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4871901	4891975	AKR1C6P	2.0000	2.0000	1	ENST00000432950	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4963415	4983283	AKR1C1	2.0000	2.0000	1	ENST00000380872	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4987400	5004023	AKR1C2	2.0000	2.0000	1	ENST00000380753	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	4995488	4997374	AL391427.1	2.0000	2.0000	1	ENST00000451575	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5094414	5107686	AKR1C3	2.0000	2.0000	1	ENST00000380554	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5122087	5135226	AKR1C5P	2.0000	2.0000	1	ENST00000427165	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5154140	5185104	AKR1C8P	2.0000	2.0000	1	ENST00000648824	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5195463	5218949	AKR1C4	2.0000	2.0000	1	ENST00000380448	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5207169	5207742	ARL4AP3	2.0000	2.0000	1	ENST00000441452	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5215408	5217014	AL355303.2	2.0000	2.0000	1	ENST00000656002	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5234358	5263408	AL355303.1	2.0000	2.0000	1	ENST00000428920	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5266033	5271236	LINC02561	2.0000	2.0000	1	ENST00000449457	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5275173	5288470	AKR1C7P	2.0000	2.0000	1	ENST00000305623	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5304431	5304865	RPL26P28	2.0000	2.0000	1	ENST00000451325	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5346651	5347277	AL683826.1	2.0000	2.0000	1	ENST00000624104	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5364966	5374692	UCN3	2.0000	2.0000	1	ENST00000380433	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5393101	5404828	TUBAL3	2.0000	2.0000	1	ENST00000380419	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5412557	5459056	NET1	2.0000	2.0000	1	ENST00000355029	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5498697	5499555	CALML5	2.0000	2.0000	1	ENST00000380332	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5510036	5523177	CALML3-AS1	2.0000	2.0000	1	ENST00000543008	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5524009	5526771	CALML3	2.0000	2.0000	1	ENST00000315238	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5524976	5525742	AL732437.1	2.0000	2.0000	1	ENST00000442008	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5549646	5554313	AL732437.3	2.0000	2.0000	1	ENST00000658565	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5563295	5566881	AL732437.2	2.0000	2.0000	1	ENST00000664654	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5594986	5632435	LINC02657	2.0000	2.0000	1	ENST00000660276	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5608475	5610793	LINC02678	2.0000	2.0000	1	ENST00000425246	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5616626	5632499	LINC02677	2.0000	2.0000	1	ENST00000656119	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5624931	5625126	AL365356.2	2.0000	2.0000	1	ENST00000441526	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5631463	5631755	RN7SL445P	2.0000	2.0000	1	ENST00000495609	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5638867	5666595	ASB13	2.0000	2.0000	1	ENST00000357700	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5684838	5763740	TASOR2	2.0000	2.0000	1	ENST00000328090	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5712420	5714423	AL365356.1	2.0000	2.0000	1	ENST00000596567	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5765223	5813434	GDI2	2.0000	2.0000	1	ENST00000380191	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5776071	5776858	NRBF2P5	2.0000	2.0000	1	ENST00000603087	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5813985	5814441	AL596094.1	2.0000	2.0000	1	ENST00000608273	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5861616	5889893	ANKRD16	2.0000	2.0000	1	ENST00000380094	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5861805	5862594	RPL12P28	2.0000	2.0000	1	ENST00000430852	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5894386	5937593	FBH1	2.0000	2.0000	1	ENST00000379999	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5934270	5945900	AL137186.2	2.0000	2.0000	1	ENST00000397264	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	5952372	5977611	IL15RA	2.0000	2.0000	1	ENST00000397248	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6010689	6062325	IL2RA	2.0000	2.0000	1	ENST00000379959	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6017054	6017194	RF00397	2.0000	2.0000	1	ENST00000516113	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6025978	6036427	AL137186.1	2.0000	2.0000	1	ENST00000440436	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6071514	6071918	RPL32P23	2.0000	2.0000	1	ENST00000397237	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6089346	6117457	RBM17	2.0000	2.0000	1	ENST00000446108	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6202932	6254644	PFKFB3	2.0000	2.0000	1	ENST00000640683	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6149623	6149940	RN7SKP78	2.0000	2.0000	1	ENST00000364711	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6152196	6152277	MIR3155A	2.0000	2.0000	1	ENST00000577482	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6152207	6152262	MIR3155B	2.0000	2.0000	1	ENST00000636544	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6197612	6202693	AL157395.1	2.0000	2.0000	1	ENST00000427630	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6277687	6335982	LINC02649	2.0000	2.0000	1	ENST00000399868	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6293100	6294684	SDCBPP1	2.0000	2.0000	1	ENST00000440192	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6350316	6352762	LINC02656	2.0000	2.0000	1	ENST00000391437	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6427143	6580301	PRKCQ	2.0000	2.0000	1	ENST00000263125	true	p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6580506	6585303	PRKCQ-AS1	2.0000	2.0000	1	ENST00000663449	true	p14-p15.1	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6618716	6625346	LINC02648	2.0000	2.0000	1	ENST00000448835	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6682513	6823789	AL158210.1	2.0000	2.0000	1	ENST00000650342	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6737276	6740532	LINP1	2.0000	2.0000	1	ENST00000650334	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6737418	6840712	AL392086.2	2.0000	2.0000	1	ENST00000648995	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6774307	6779180	LINC00706	2.0000	2.0000	1	ENST00000628989	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6872944	6879450	LINC00707	2.0000	2.0000	1	ENST00000650314	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	6779608	6877888	AL392086.1	2.0000	2.0000	1	ENST00000650205	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7008964	7118414	AL392086.3	2.0000	2.0000	1	ENST00000666104	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7096216	7097675	LINC02665	2.0000	2.0000	1	ENST00000420049	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7154120	7154236	AL590095.1	2.0000	2.0000	1	ENST00000604136	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7158624	7411486	SFMBT2	2.0000	2.0000	1	ENST00000397167	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7295106	7295290	COX6CP17	2.0000	2.0000	1	ENST00000421389	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7411599	7413467	AL139125.1	2.0000	2.0000	1	ENST00000623134	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7444340	7471860	LINC02642	2.0000	2.0000	1	ENST00000660269	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7486703	7486809	RNU6-535P	2.0000	2.0000	1	ENST00000384722	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7533207	7536565	AL445070.1	2.0000	2.0000	1	ENST00000414631	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7559270	7666966	ITIH5	2.0000	2.0000	1	ENST00000397146	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7703316	7749520	ITIH2	2.0000	2.0000	1	ENST00000358415	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7750962	7787993	KIN	2.0000	2.0000	1	ENST00000379562	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7788177	7807801	ATP5F1C	2.0000	2.0000	1	ENST00000356708	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7818505	8016631	TAF3	2.0000	2.0000	1	ENST00000344293	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	7833618	7833957	AL353754.1	2.0000	2.0000	1	ENST00000440219	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8054688	8075198	GATA3	2.0000	2.0000	1	ENST00000379328	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8050450	8053484	GATA3-AS1	2.0000	2.0000	1	ENST00000355358	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8051541	8053084	AL390294.1	2.0000	2.0000	1	ENST00000418270	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8161260	8162192	PRPF38AP1	2.0000	2.0000	1	ENST00000451976	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8259331	8268342	LINC00708	2.0000	2.0000	1	ENST00000657469	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8298897	8301667	AL390835.1	2.0000	2.0000	1	ENST00000413941	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8400860	8461863	AC025946.1	2.0000	2.0000	1	ENST00000413286	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8472719	8472952	AC025946.2	2.0000	2.0000	1	ENST00000603398	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8513687	8515106	KRT8P37	2.0000	2.0000	1	ENST00000451609	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8619933	8620608	CHCHD3P1	2.0000	2.0000	1	ENST00000425516	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8656716	8656831	RNA5SP299	2.0000	2.0000	1	ENST00000391203	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8724010	8724288	AL355333.1	2.0000	2.0000	1	ENST00000605632	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8897989	8914596	LINC02676	2.0000	2.0000	1	ENST00000447297	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	8970125	8973468	AC044784.1	2.0000	2.0000	1	ENST00000456526	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	9275833	9287057	LINC00709	2.0000	2.0000	1	ENST00000458168	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	9292842	9309636	AL138773.1	2.0000	2.0000	1	ENST00000658214	true	p14	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
